OA,engagement
E00023412,0.08333333333333333
E00023418,0.08333333333333333
E00023432,0.08333333333333333
E00023433,0.08333333333333333
E00023436,0.08333333333333333
E00023437,0.08333333333333333
E00023440,0.08333333333333333
E00023442,0.08333333333333333
E00023443,0.08333333333333333
E00023444,0.08333333333333333
E00023446,0.08333333333333333
E00023449,0.08333333333333333
E00023880,0.1276595744680851
E00023881,0.1276595744680851
E00023885,0.1276595744680851
E00023886,0.1276595744680851
E00023888,0.1276595744680851
E00023889,0.1276595744680851
E00023890,0.1276595744680851
E00023893,0.1276595744680851
E00023894,0.1276595744680851
E00023922,0.1276595744680851
E00023923,0.1276595744680851
E00023924,0.1276595744680851
E00023925,0.1276595744680851
E00023413,0.08333333333333333
E00023415,0.08333333333333333
E00023419,0.08333333333333333
E00023422,0.08333333333333333
E00023426,0.08333333333333333
E00023427,0.08333333333333333
E00023429,0.08333333333333333
E00023430,0.08333333333333333
E00023431,0.08333333333333333
E00023434,0.08333333333333333
E00023435,0.08333333333333333
E00023438,0.08333333333333333
E00023439,0.08333333333333333
E00023441,0.08333333333333333
E00023445,0.08333333333333333
E00023447,0.08333333333333333
E00023448,0.08333333333333333
E00023774,0.19047619047619047
E00023787,0.19047619047619047
E00023788,0.19047619047619047
E00023789,0.19047619047619047
E00023790,0.19047619047619047
E00023791,0.19047619047619047
E00023792,0.19047619047619047
E00023793,0.19047619047619047
E00023794,0.19047619047619047
E00023795,0.19047619047619047
E00023796,0.19047619047619047
E00023414,0.08333333333333333
E00023416,0.08333333333333333
E00023421,0.08333333333333333
E00023423,0.08333333333333333
E00023424,0.08333333333333333
E00023425,0.08333333333333333
E00023428,0.08333333333333333
E00023882,0.1276595744680851
E00023883,0.1276595744680851
E00023887,0.1276595744680851
E00023891,0.1276595744680851
E00023892,0.1276595744680851
E00023895,0.1276595744680851
E00023896,0.1276595744680851
E00023897,0.1276595744680851
E00023898,0.1276595744680851
E00023899,0.1276595744680851
E00023900,0.1276595744680851
E00023901,0.1276595744680851
E00023902,0.1276595744680851
E00023903,0.1276595744680851
E00023905,0.1276595744680851
E00023906,0.1276595744680851
